titulo,tipo_pi,centro/unidade,grande_area_conhecimento,area_conhecimento
"FORMULAÇÃO FARMACÊUTICA DE LIBERAÇÃO TRANSDÉRMICA","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Farmacotecnia"
"Prometeu  Panorama da Câmara","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Metodologia e Técnicas da Computação"
"Prometeu - Configuração do Congresso","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Metodologia e Técnicas da Computação"
"MMBGR - Lactentes e Pré-escolares - Ferramenta de Suporte à Aplicação do Protocolo (Fonoaudiologia)","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"BEBIDA LÁCTEA FERMENTADA COM MILICAPSULAS DE RESÍDUO  AGROINDUSTRIAL DE UMBU (Spondias tuberosa)","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Aproveitamento de Subprodutos"
"Solução de equilíbrio termodinâmico para gaseificação de biomassa  Gasific","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Engenharia Química"
"Domínio POC - DOM POC","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Teleinformática"
"SafeSign","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Engenharia de Software"
"Dispositivo Placebo Multimodalidade para Eletroestimulação","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Engenharia Médica"
"Sistema Petri Saúde","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Computação"
"Sistema NConform","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Computação"
